Titre,Note,Avis,Auteur,Entreprise
Très bonne expérience : du rythme et du contenu de qualité,5,"J'ai terminé le bootcamp Data Scientist à temps plein en février 2024. Je suis très satisfait de l'expérience : rythmée, intense, très diversifiée en termes de compétences, avec une méthode basée sur la pratique et les projets. Mes retours faits à l'équipe Datascientest :- Les masterclass en visio sont utiles mais leur valeur ajoutée doit être retravaillée (éviter de dérouler les notebooks en direct sans que les participants n'aient pu les pratiquer avant, ce n'est pas interactif).- L'accompagnement carrière est utile, mais manque de liens avec les alumni (mises en relation, conseils, réalité de la recherche d'emploi à l'issue de la formation)",T.G.,www.datascientest.com
Datascientest un organisme qui vous met au travail,5,Très bonne équipe pédagogique. Enseignement de qualité qui nous permet d'apprendre de bout en bout tous les outils qu'un data Engineer peut être amené à utiliser au cours de sa carrière. Pôle carrière très présent. Merci à Morgane et à toute l'équipe pour l'accompagnement que vous avez eu à mon égard. Promotion AUG22 :),Papa-Abdou DIENG,www.datascientest.com
Excellente formation,5,"Les outils à disposition sont très bien faits, on est autonome mais on a une ligne directrice très claire sur ce qu'on a à faire. Le rythme est très soutenu mais le contenu est clair et il y a énormément de pratique donc on assimile assez vite les différentes notions en pratiquant. En regardant 3 mois en arrière je suis impressionné par tout ce que cette formation m'a apporté en terme de connaissance. Merci à toute l'équipe de formation!",Willy Maillot,www.datascientest.com
Très bonne formation,5,Très bonne formation. La formule continue nous permet de suivre la formation selon notre emploi du temps et à notre rythme. La formation étant composée de modules à valider progressivement avec des timing à respecter :cela nous incite à avancer rapidement.,Mahj,www.datascientest.com
Data Scientist - Bootcamp de 11 semaines,5,La formation Data Scientist de Datascientest est très complète. Elle aborde énormément de notions de Machine Learning et de Deep Learning. Les notebooks permettent une montée en compétences progressives et les tests permettent de valider les acquis. Le projet permet la mise en pratique de nos connaissances tout en nous initiant au travail en équipe sur des projets informatiques.,Slash Gordon,www.datascientest.com
Bravo et merci,5,"Très très bonne formation. Les équipes sont très à l’écoute des besoins et s’adaptent très bien aux contraintes que l’on peut avoir durant la formation. Les supports sont bien faits, les certifications permettent de bien mettre en pratique les notions et valider les acquis. Je recommande vivement cet organisme pour approfondir ses compétences, envisager une reconversion professionnelle. Un grand merci à toute l’équipe de DS",Gerald Hautemayou,www.datascientest.com
cher payé,2,"J'ai effectué la formation data analyst en bootcamp, j'ai validé la formation mais elle est très insuffisante pour  la mise en pratique professionnelle. Les cours sont sous format écrit, c'était fastidieux de passer ses journées à lireLes notions de base de la programmation telles que les algorithmes ne sont pas abordées, Manque de suivi personnalisé Bug fréquent de la plateforme, Les cours de soutien hebdos inefficaces car on réuni toutes les promotions alors qu'ils auraient dû être par niveau et parcours pour avoir un niveau homogène.on paie pour un cours mais on a y plus accès à la fin de la formationA la fin, on se retrouve livré à soi même.",Madina,www.datascientest.com
Formation initiale PL 300 POWER BI DATASCIENTEST,5,"J'ai appris POWER BI à travers des tutos sur you tube, pensant que cela serait sufisant. Rencontrant assez des limites dans ma connaissance, j'ai décidé de faire cette formation en utilisant mon CPF. Je ne le regrette pas, car cette formation donne une vision à 360 ° de cet outil, indispensable pour mener un projet de A à Z.J'ai apprécié l'interactivité du groupe, la clarté des explications, avec des schemas synthétiques.",Stéphane /BOURAIN,www.datascientest.com
Parcours DataScientist (formation continue),5,"J'ai suivi le parcours Data Scientist en formation continue.Formation est riche en contenu, Datascientest propose des master classes et ateliers en plus.Tout est très formateur !Le plus compliqué est probablement de trouver du temps pour tout quand on travaille à temps plein,organisez-vous bien !",Alissa,www.datascientest.com
Power bi intense…,5,"3 jours de formation intense mais comme tout est enregistré , nous pouvons reprendre à notre rythme les éléments.Notre formateur était top, ses explications toujours très clair.Beaucoup de travail après pour valider les compétences acquises.",BUREAU,www.datascientest.com
Formation continue Data Analyst,5,"J’ai suivi la formation continue Data Analyst qui débutait fin janvier 2023.Les 2 premiers mois ont été durs car le niveau est élevé et pour ceux qui n’ont plus fait de maths ou jamais fait de codage, la 1ère marche est très haute.En revanche, la certification Paris Tech Les Mines (reçu fin octobre 2023) vous assure une qualité de cours. Et ça vaut le coup de s’accrocher.Peut-être suggestion de mieux accompagner les apprenants ces mois en faisant des cours de pratique en plus mais sinon rien à redire.Particulièrement durant le projet fil rouge, nous avons eu un très bon encadrant.Le groupe était sérieux et la certification niveau 7 permet d’accéder à des emplois plus intéressants et peux faire la différence dans un marché de la data beaucoup plus concurrentiel.Je recommande donc !",Guillemette Eyssautier,www.datascientest.com
PAS DE RNCP,2,"J'ai effectué la formation data analyst et validé la formation en janvier 2022.En phase finale d'un recrutement, on me demande une attestation de niveau.J'ai fait la demande après de DataScientest dont le traitement depuis 6 semaines était en cours. On m'informe seulement hier que la formation de 2021 n'avait pas d'équivalence RNCP mais uniquement le diplôme de la Sorbonne. Ce qui semble ne pas leur permettre d'attester du niveau 6 pourtant annoncée lors de mon inscription.Soyez vigilant dans le choix de l'organisme de formation et contrôlez que la formation souhaitée est bien enregistrée au RNCP.",NATHALIE,www.datascientest.com
J'ai suivi la formation Data Analyst,4,"J'ai suivi la formation Data Analyst en Bootcamp. La formation est très intensive et exige un minimum d’autonomie. Enseignement de qualité qui nous permet d'apprendre les outils nécessaire en tant que Data Analyst. Un projet fil rouge est réalisé en équipe, afin d'appliquer les connaissances acquis en cours. Je remercie l’équipe de Datascientest et en particulier le pôle career management pour leurs précieux conseils.",Layana,www.datascientest.com
Contenu de très bonne qualité avec une excellente équipe,5,Le niveau de la formation est très élevé et de très bonne qualité. On nous forme a être tout de suite opérationnel. L’équipe nous encadre bien et est très sympathique. Il y a des ateliers non obligatoires mais de très bonnes qualités qui nous expliquent les divers horizons possibles ou bien pour notre culture générale. Les intervenants sont toujours très bienveillants et très compétents. La méthode en distanciel laisse une grande autonomie sans pour autant se sentir seul grâce à une forte communication de l’équipe encadrante et carrière. L’ambiance est au top.,Nad Ege,www.datascientest.com
Formation excellente,5,La formation est excellente. Les échanges formateurs-élèves se font par Slack ce qui rend la communication hyper efficace.Certains points pourraient être améliorés comme réaliser plus de cours en vidéo (enregistrés et en direct) par exemple.Merci à tous !,Daniel Rondon,www.datascientest.com
Formation au top,5,"Après avoir suivi une autre formation en datascience, pour moi DataScientest reste la meilleure!-Accompagnement individuel que ce soit depuis la prise en charge du dossier ou lors de l'apprentissage.-Un format super adapté et simple d'utilisation.-Une communauté active et varié.-Un projet qui est le fil conducteur de la formation et qui permet pour nous de mettre en pratique ce qu'on a appris.-Des professeurs de haut niveau qui prennent le temps pour chacun de nous accompagner.-Des supports en extra pour nous aider comme Slack ou autre.- Des ateliers organisés super régulièrement qui sont adaptés aux les besoins de chacun.-Masterclass organisé pendants les heures de pause du coup possibilité d'alterner entre emploi et formation.La liste serait trop longue si j'avais à décrire tous les points positifs de la formation donc une seule chose à dire FONCEZ SANS HESITER!",ElishevaTeboul,www.datascientest.com
Vous pouvez foncer!!!,5,"Ayant un profil d'économiste, j'ai eu beaucoup de questionnements avant de me lancer, mais l'équipe DataScientest m'a vraiment rassurée. J'ai passé des mois de formation assez intenses, parfois avec des nuits blanches épuisantes 🥵, mais je n'ai aucun regret. Le contenu de la formation est très riche, j'ai vraiment appris énormément de choses (apprentissage automatique, deep learning, fouille de texte, etc.). La seule suggestion que j'ai est d'ajouter, si possible, des cours en vidéos avant les master-classes, en complément des notebooks déjà complets. Je pense que cela aiderait davantage les apprenants. Mis à part cela, j'ai vraiment apprécié mon parcours, l'équipe est à l'écoute et Yaniv, qui était le chef de notre cohorte, a été d'une grande aide lorsque j'en avais besoin. Je pense que je suis bien armée en tant que data scientist et prête pour la suite.",Marie Maria,www.datascientest.com
Excellente formation Power BI,5,"Très bonne expérience. J'ai suivi la formation complète Power BI et je suis très satisfaite. Le rythme est intense car on vous montre et vous explique beaucoup de fonctionnalités de l'outil, avec des astuces pour gagner en simplicité et rapidité d'analyse. Le vrai plus : un formateur très compétent, patient et à l'écoute des besoins.",Pascualita MD,www.datascientest.com
J’ai suivi les formations AWS de…,5,"J’ai suivi les formations AWS de DataScientest, les programmes sont trés riches. On sort de cette formation avec une belle boite à outils.J’ai particulièrement apprécié le niveau de compétence des formateurs qui nous ont accompagné.",Pascal Goberville,www.datascientest.com
Formation PL-300 Data Analyst,5,Formation très intense et très orientée pratique. Le formateur connaît parfaitement son sujet et est très disponible pour répondre aux questions même celles qu'il n'avait pas forcément prévues. :-)Les ressources mises à disposition des apprenants sont très fournies.Je recommande fortement.,Oly Rasamison,www.datascientest.com
Très bonne formation je recommande…,5,Très bonne formation je recommande fortement. Si vous avez déjà une formation en data science ou data analyst ou informatique ça sera beaucoup plus avantageux pour vous. Équipe très innovante accès sur les problématiques actuelles.,Nassirou,www.datascientest.com
J'ai suivi cette année (2023) la Formation DATA ANALYST…,5,"J'ai suivi cette année (2023) la formation de data analyste, pour moi la plateforme est complète, on est automne, mais pas seul on est toujours accompagné par nos formateurs et par la plateforme du support. Chaque  module est accompagné par un exemple réel à faire, pour ma part j'ai beaucoup appris.",EL. ABDERRAHIM,www.datascientest.com
C'était top,5,"Les 2 sessions de Power Bi que j'ai suivi avec Emrick étaient tops et complètement en phase par rapport à mes attentes. Elles étaint très claires, très instructives, avec des tips opérationnels et surtout des bonnes pratiques pour concevoir un projet dans le respect de l'art. Je recommande les yeux fermés.",SUZANE,www.datascientest.com
bonne formation Power BI PL300,4,"j'ai suivi la formation Power BI PL300. C'était bien animé, toutes les fonctionnalités de Power BI sont abordées, des exercices pratiques, des conseils d'un coach expérimenté, des sources pour continuer à apprendre. De quoi démarrer immédiatement à utiliser power bi dans son entreprise",client,www.datascientest.com
Une boite qui fait du volume,1,"Une boite qui fait du volume, du fric, en recrutant de manière indiscriminée pour remplir ses cohortes et profiter de l argent public disponible via PE ou la région.Des offres d upselling d autres formations, des primes de cooptation, l'appat du gain prime. L autonomie attendue des apprenants est très élévée, le support et le forum ne palie que partiellement l isolement du e-learner. Les notebooks peuvent buguer. L organisation des ateliers et masterclass laisse aussi à désirer, les préavis  sont courts, les batchs des différents cursus sont mélangés pour mutualiser.",Simon,www.datascientest.com
Très bon organisme de formation,5,"Excellent organisme de formation pour les métiers de la Data.Cours très bien fait, et on est rapidement challengé grâce à des examens après chaque cours, et certifications que l'on peut afficher sur son profil Linkedin par la suite !Je recommande les yeux fermés.",Rems,www.datascientest.com
Une formation sur mesure,5,"Une formation sur mesure, nous apprenons vite les bases pour aller plus loin par la suite dans les concepts du ML et à la fin nous sommes prêts à réaliser des projets de bout en bout.",Iqbal,www.datascientest.com
Merci Datascientest,4,Super formation où nous apprenons le métier Data Analyste. La plateforme est bien faite. C'est une vrai formation où il faut se donner à fond. Selon moi il faudrai plus de temps synchrone avec des experts qui prépare mieux leurs cours de masterclass.Si c'était à refaire je referai!,Clémence Coursat,www.datascientest.com
Partir de presque rien et en arriver là…,5,"Partir de presque rien et en arriver là au bout de 8 mois, cela demande travail et efforts mais avec les supports et les intervenants, de la recherche, on arrive à surmonter le ‘syndrome de l’imposteur’. Vous pouvez y arriver quoique vous en pensiez.",RLDY,www.datascientest.com
Expérience chez DataScientest,5,"Expérience chez DataScientest trés enrichissante. Avec une équipe pédagogique toujours présente et à l'écoute, cette formation a été à la hauteur de mes attentes. Que ce soit la formation en autonomie sur la plateforme ou le projet de groupe encadré par un super mentor. De plus le service career management m'a été très utile.Je recommande cette formation.",Quentin Blechet,www.datascientest.com
Formation Data Engineer,5,"La formation bootcamp DE proposé par Datascientest m'a vraiment permis de booster mes compétences. Le contenu est pragmatique, ludique, exigeant, et permet, par la pratique, de réaliser de vrais projets par la suite. Il m'a été d'une grande aide et je le recommande à tous ceux qui ont des bases en informatique et qui souhaitent développer et mettre en pratique leurs compétences pour s'orienter dans un secteur porteur et intéressant.",Vincent Bulut,www.datascientest.com
Expérience enrichissante et bases solides,5,"La formation Data Product Manager m'a permis d'acquérir les bases nécessaires en Data pour ma reconversion en tant qu'ingénieure en Business Intelligence. Les formateurs sont sympathiques et à l'écoute. La formation est riche, les supports de cours sont bien réalisés et les masterclass très utiles.C'est une approche moderne de l'apprentissage en distanciel que j'ai pu vivre pendant 3 mois intensifs mais très profitables.",Stéphanie,www.datascientest.com
La formation chez Datascientest est exigeante et valorisante,5,"La formation chez Datascientest est de très bonne qualité et exigeante.Le meilleur conseil : s'accrocher. Le temps de travail personnel hebdomadaire est bien supérieur aux 20 heures annoncées (le double en fait). Ce n'est pas négligeable. Cet aspect est à prendre en compte pour ceux qui sont en poste au moment de la formation. A titre personnel, j'ai eu parfois du mal à concilier ma charge de travail (plan professionnel), ma vie de famille et suivre la formation en continue. Avec force de volonté et un bon entourage, c'est réalisable.""À vaincre sans péril, on triomphe sans gloire.""",Franck C,www.datascientest.com
Bootcamp Data Analyst,5,"Bootcamp Data AnalystFormation sérieuse et exigeante, mais très complète. Support pédagogique très clair qui permet un apprentissage en autonomie tout en ayant des collaborateurs très réactifs en cas de besoin.",Louis Marechal,www.datascientest.com
Une formation très complète et un accompagnement de qualité,5,"Je suis en train de finir la formation continue de Data Scientist que j'ai commencée en juillet 2021. C'est une formation sérieuse qui demande un réel investissement lorsqu'on travaille à côté mais qui m'a permis de vraiment monter en compétences dans le domaine de la Data. La plateforme de e-learning est très bien faite et les modules permettent d'apprendre sur des problèmes concrets. Le travail en sprint et les masterclasses en présentiel une fois par mois permettent de rester motivée et de se sentir accompagnée, sans parler du pôle Carrière à notre écoute et de très bons conseils pour notre future recherche d'emploi. Je ne peux que recommander cet organisme de formation et remercier chaleureusement les gens passionnés qui y travaillent. Bravo à toute l'équipe DataScientest. Sandrine",Sandrine,www.datascientest.com
La formation mérite bien ses 5 sur 5...,5,"Vue de l'extérieur on pourrait émettre des doutes quant à l'efficacité de l'enseignement à distance pour des disciplines plutôt pratiques. Au bout du compte, on se rend compte que le matériel est ""self-contained"", très pédagogique et surtout actualisé. Datascientest m'a permis d'avoir la main sur les entrées et sorties de la Data Engineering, partant de zéro à un niveau opérationnel. La seule surprise c'est la cadence plutôt intense de l'enchaînement des enseignements. En gros, le contenu de la formation et les animateurs méritent bien un 5/5.",Moukouba,www.datascientest.com
Formation intéressante,5,"Bonjour, j'ai suivi une formation au ""prompt engineering IA"".L'écoute et le professionnalisme des formateurs m'ont permis d'apprendre rapidement.Dès la formation terminée, de mettre à profit mes nouvelles compétences.Je recommande vivement DataScientest.",Olivier G,www.datascientest.com
J'ai suivi la formation Data Engineer,4,"J'ai suivi la formation Data Engineer de DST que je trouvais dans l'ensemble assez bien. N'ayant pas d'autres références d'organisme de formation pour comparer,il me semble que la qualité des cours est bien louable.",pandasdub,www.datascientest.com
Excellent organisme de formation,5,"Excellent organisme de formation ! J'ai suivi le cursus de Data Scientist promo d'Avril 2022 en format BootCamp (intensif) et je suis ravie : formation au top, niveau demandé très élevé mais avec bienveillance, je me suis passionnée pour le code Python ainsi que pour les prédictions en tout genre, le projet fil rouge nous permet de mettre en application tout ce qui a été vu en ""cours"" (formation en ligne à 100% avec exos du genre ""vous faites et vous apprenez""). Guide également pour la recherche d'emploi et le bien être avec les ateliers en ligne du midi (non obligatoire mais oh combien nécessaire) . Résultat : j'ai géré mon temps comme je le voulais, sans me priver des mes cours de sport (8h / Sem) et de mon fils ou de sorties, diplome obtenu le 20 juillet et CDI signé pour le 22 août prochain ! Je suis ravie et merci DataScientest !",Caroline Dumoulin,www.datascientest.com
"Déjà 2 formations avec Datascientest, et deux fois plus de raisons de leur faire confiance",5,"J'ai bénéficié d'une double formation avec Datascientest. Deux bootcamps : Data Scientist, puis Data Engineer. Je leur ai fait deux fois confiance, et je ne le regrette pas. Les formation sont très complètes. Collent parfaitement aux besoins effectifs du secteur, et sont continuellement adaptées et mises à jour. La pédagogie est adaptées aux personnes en reconversion notamment. Progressive, commençant par les fondamentaux, et allant vers de plus en plus de maitrise, avec une approche orientée vers la pratique (notebooks, et projet fil rouge). Enfin, Datascientest bénéficie de relations étroites avec le monde professionnel de la data. Les apprenants sont très bien orientés à l'issue de la formation et bénéficient du rayonnement de Datascientest auprès des entreprises.",Mohamed Toumi,www.datascientest.com
Excellente formation,5,"Excellente formation, certes intensive, mais efficace. La formation en Bootcamp de Datascientist chez Datascientest est intensive mais très efficace. Pour ma part, il a fallu s'accrocher, surtout en début de la formation, quand on n'a pas encore acquis la bonne méthode de travail. Les moyens mis à notre disposition fonctionnent parfaitement, que ça soit la plateforme, l'aide interactive, les masterclass, le suivi et l'encadrement du projet. En résumé, l'équipe pédagogique et les moyens sont très professionnels. Si vous êtes motivé, avez le background requis, alors tout ira bien, cette formation est pour vous.",RAZAFINDRATSIMA Stephen,www.datascientest.com
"Formation  a distance ""data…",5,"Je suis actuellement la formation ""data scientist"" hors temps ouvréLes cours sont très bien écrit et progressifs . Parfaitement adapté pour une formation a distance  . Le programme est vraiment bien  structuré autour de masterclass et autres interventions",Jean-Louis,www.datascientest.com
une formation professionnelle de qualité,5,"Après 15 ans dans une entreprise avec de multiples missions, l'analyse de données m'a permis d'améliorer et conforter mes projets. Ma curiosité dans ce domaine n'a fait qu'accroitre ma passion aux nouvelles technologies. J'ai profité d'un plan de départ volontaire pour faire une reconversion en tant que Data Analyst et la formation DataScientest fut une belle surprise : accueillante, compétente et chaleureuse sont les premières qualités qui me viennent en tête pour vous résumer la formation que j'ai suivi. Cela n'a pas été simple car il y avait beaucoup de nouveautés pour moi mais le suivi, l'aide et les échanges effectués sur leur plateforme m'ont beaucoup aidé. J'ai donc terminé cette formation avec le sourire et obtenu mon diplôme de Data Analyst.",Romain,www.datascientest.com
J'ai effectué ma formation de datascientist,5,"J'ai effectué ma formation de Datascientist chez datascientest en format intensif (bootcamp). Cette formation m'a permis d'apprendre en 10 semaines, le langage python ainsi que l'utilisation des différentes librairies pour pouvoir faire de l'analyse de données et mettre en place des algorithmes de prédiction.Cette formation m'a aussi permis d'avoir des connaissances sur les réseaux de neurones.Le point fort de cette formation est le profil fil rouge, qui permet de mettre en application la théorie avec un projet réel.J'ai aussi au cours de cette formation était en contact avec le service carreer, qui est à fonds pour nous aider et propose beaucoup de tutoriaux pour nous aider pour trouver un emploi.",Jacques Drouvroy,www.datascientest.com
Formation Data scientiste chez Datascientest,5,"J'ai suivi la formation Data Science chez Datascientest en formation continue et franchement j'ai adoré. Les ML (machines learning) et Les DL (deep learning) n'ont plus de secrets pour moi. La formation m'a vraiment permis d'appréhender ce monde de l'intelligence artificielle avec beaucoup plus de facilité. En plus chez Datascientest, l'équipe est vraiment compétente et toujours à l'écoute pour vous apporter l'aide et l'accompagnement durant toute la formation. La plateforme de formation est vraiment très bien conçue et très facile à prendre en main? Le projet fil rouge vous permet d'aborder un sujet de data science sur un cas pratique et  bien sûr de confirmer et asseoir vos acquis. Je recommande vivement cette formation chez Datascientest.",Okba BENTOUMI,www.datascientest.com
Formation DataScientist,5,"Formation de qualité avec une très bonne équipe pédagogique. La formation laisse place à l'autonomie mais l'équipe est toujours présente en cas de nécessité. Une grande place est laissée à la pratique avec un apprentissage axé sur la compréhension des principes.Je recommande vivement DataScientest qui est un organisme sérieux, que ce soit dans le cadre d'une réorientation ou bien d'une formation complémentaire.",Saganne Chevalier,www.datascientest.com
Data engineer - formation qualitative,4,J'ai suivi la formation Data engineer avec Datascientest en 2022. La formation est parfaite pour des personnes cherchant à acquérir de nouvelles compétences ou cherchant à étendre leurs champs de compétences dans un domaine ciblé.Je préconise cette plateforme pour des personnes ayant déjà une expérience profesionnelle proche du domaine d'étude choisi.Datascientest est une plateforme exigente et qui nécessite du temps et de l'investissement personnel.Je mets 4 etoiles car à l'époque de ma formation je me suis parfois retrouvé à devoir poser des questions sur le forum pour Kubernetes qui est un gros morcrau. Un mentor dedié pouvant répondre aux questions en cas de blocage serait d'une grande valeur ajoutée à cette formation de qualité.,Jean-Baptiste Herold,www.datascientest.com
Excellente formation !,5,Très bonne formation !! Riche complète bien expliqué ! Va à l'essentiel tout en restant clair. Les modules sont très bien pensés et nous amènent petit à petit vers des modèles de plus en plus complexe et puissant tout en restant simple à suivre. Les examens de chaque module permettent de valider et de mettre en pratique sur des datasets réel les modèles abordés.,NAOUFEL ELKHAYATY,www.datascientest.com
Formations extrêmement bien construites et engageantes,5,"Formations Datascientist (9 mois), MLOps (4 mois) et PowerBi (1 semaine) à mon actif. Toujours très satisfait, un contenu pédagogique extrêmement riche et passionnant. Pour les formations Datascientist et MLOps les modalités d'évaluations des modules sont très bien adaptées. Les projets à soutenir en fin de formation apportent énormément ! Attention, pour les apprenants sans gros background dans le domaine, il faut s'accrocher, les formations sont denses et le début peut vite déstabiliser.",luro,www.datascientest.com
J’ai suivi la formation PBI pour monter en compétences sur le sujet,5,"J’ai suivi la formation PBI pour l’examen PL-300.Nous étions très nombreux à suivre la formation à distance mais tout s’est très bien déroulé. Une équipe au top pour gérer les aléas et un formateur qui n’hésites pas à aller plus loin. Ravie de cette formation où j’ai beaucoup appris sur la modélisation. Pour ce qui est de la certification, pas sûr que j’y arrive…le site pour s’entraîner montre que c’est très difficile.",Cécile GERMAIN,www.datascientest.com
Data-management,5,"Ça été une très belle expérience. Et surtout un très bon organisme. Je le conseil, vous avez un suivi chaque semaine , si vous n’y arrivez pas ils sont là pour vous aidez.De plus , même après la formation si vous avez besoins ils sont là pour vous aider.Je ne regrettes absolument pas mon choix d’être passer par datascientys  pour la formation data management.",DEBORAH,www.datascientest.com
Avis formation data analyste chez DataScientest,4,J'ai suivi la formation data analyst qui m'a permis de découvrir des compétences solide sur le monde de la data en passant par des modules bien détaillés et bien expliquer les notions élaborées. Je trouve la formation très riche et intense,Tarik,www.datascientest.com
Formation de très bonne qualité!,5,J’ai suivi la formation Data Scientist (format continue) de DataScientest.com cette année. J'ai été très satisfait des cours que j'ai suivis : ils sont à la fois intéressant et très complet. Le projet fil rouge à aussi été très bien et nous à permis de proposer le meilleur de nous même en quelques mois de travail. Et j'ai trouvé un emplois en moins d'un mois à la sortie de la formation...,Adrien,www.datascientest.com
Une formation de très haute qualité,5,"Une formation de très haute qualité. Une équipe très professionnelle, à l'écoute et soucieuse de la réussite des étudiants aussi bien pendant qu'après la formation.Grâce à cette formation et à Datascientest, je suis une datascientiste accomplie et confiante pour mon avenir professionnel.",MARTHE Ouedraogo,www.datascientest.com
Les notebooks des cours POWER BI,5,"Les notebooks très bien documentés et très claire à lire et à comprendre et les travaux pratiques ""Merci par avance pour votre soutien inconditionnel ⭐⭐⭐⭐⭐Cordialement,",koffi sowadan,www.datascientest.com
Une formation hyper qualitative,5,"Une formation hyper qualitative pour maîtriser les outils et méthodes les plus pointus en data science, avec des formats adaptés aux différentes situations professionnelles.Ma formation ""data analyst"" en bootcamp en 2023 me permet de maîtriser désormais la programmation Python, le ML, le web scraping, les outils de dataviz, etc.Un sérieux atout pour mon profil professionnel et ma culture data centric !",Yann Ranvoisy,www.datascientest.com
Formation Microsoft PowerBi,5,"La module complet Microsoft PowerBi est très pointu. Une grande diversité de thématiques, de cas d'école, et d’astuces sont partagés en live par le formateur. Je recommande cette formation pour monter en compétences.",PHYLIPPE DETOISIEN,www.datascientest.com
Formation POWER BI PL 300,5,"J'ai suivi la formation de POWER BI, l'expérience était enrichissante, toutes les fonctionnalités de l'outil étaient abordées, avec une partie pratique avec des exercices. un formateur très compétent et à l'écoute. 5/5",sara kacher,www.datascientest.com
Formation DataAnalyst,5,"Le rythme de la formation entre chaque sprint est équilibré, ce qui m'a permis d'avoir une activité professionnelle en même temps. La plateforme est efficace. Les cours sont bien expliqués, mais pour plus d'astuces et techniques, il faut aller chercher soit même sur internet, ce qui n'est pas un point négatif pour moi, car cela favorise l'autonomie. Le projet fil rouge donne une vision technique plus poussée et une meilleure projection pour un futur emploi (dans le domaine de la data ou non). De plus, il s'agit d'un travail en groupe qui permet de partager et d'expliquer les astuces entre membres de l'équipe. Les feed-back par mail, les corrections des examens ainsi que le forum permettent d'identifier les erreurs et de s'améliorer. La possibilité de publication des certificats, au fur et à mesure, est un réel plus également, pour une large visibilité sur LinkedIn. L'ensemble est très positif, mais demande d'être très focus sur les différentes dates limite et de ne pas prendre du retard, surtout avec l'arrivée du projet fil rouge. Il faut s'accrocher à son objectif et la réussite à la fin est très satisfaisante.",Housna Abassi,www.datascientest.com
Scandaleux !,1,"En choisissant DataScientest comme organisme de formation pour réaliser mon PTP via Transition Pro, je pensais m'assurer d'utiliser intelligemment cette chance unique d'acquérir de nouvelles compétences et m'épanouir un peu plus dans ma vie professionnelle. Les codes du marketing et la communication sont de toute évidence parfaitement maîtrisés par DST puisque j'avoue m’être retrouvé complètement galvanisé par les paillettes qu'on m'avait mis dans les yeux en amont de la formation et lors de la présentation de cette dernière le premier jour du bootcamp.Malheureusement cette excitation a rapidement laissé place à la désillusion. Dès le sprint 4 (marquant le checkpoint de mi-parcours et le coeur de la formation DevOps) nous avons en effet rencontré de nombreux problèmes, avec des cours truffés de coquilles (typos, syntaxe, orthographe, commandes obsolètes, etc.) qui ont rapidement entravé ma progression et celle de la quasi-totalité des autres apprenants. S'est alors enchaîné un tourbillon de frustration, de perte de confiance en soi et d'énervement face à l'absence de réaction de la part de DataScientest (réponses tardives ne permettant pas un déblocage des problèmes ou alors absence pure et simple de réponse). Je vous avoue également avoir été stupéfait lorsqu'on nous a tout bonnement suggéré de suivre des cours sur Udemy ou d'autres plate-formes en guise de solution. Les sprints suivants étaient tout aussi mal conçus et emprunts de coquilles bloquantes. Après nous être cassés les dents sur GitLab et Kubernetes, je reconnais alors avoir totalement baissé les bras et j'ai ainsi décidé de ne pas m'inscrire au RNCP pour éviter une humiliation certaine.En outre, malgré l'expression unanime de notre mécontentement et de tous nos appels à l'aide dans le Slack ou via l'onglet d'assistance de la plateforme de cours, nous avons été totalement abandonnés (qu'on ne vienne pas nous dire qu'un point visio type ""cours magistral"" d’une heure survolant tout un module est une réponse satisfaisante à tous les dysfonctionnements rencontrés). Bref je suis scandalisé par la prestation chaotique et inadéquate qui nous a été prodiguée et je suis profondément révolté de voir de l'argent public ainsi gaspillé (ma formation a en effet été financée par Transition Pro) et d'avoir vu mon compte CPF ainsi injustement siphonné. J'espère de tout cœur que DataScientest, s'il n'y est pas contraint, fera tout pour éviter que ce genre de prestation lamentable se reproduise à l'avenir.",Romain,www.datascientest.com
super centre de formation à  distance,5,"super centre de formation, équipe disponible en permanence, certification conjointe avec l'école des Mines ParisTech Sorbonne et cours solides pour un apprentissage intensif ou en continu, le tout en distanciel. Une aide personnalisée pour mon CV, LM, LinkedIn et des jobdating tous les trimestre environ. J'ai terminé ma 1ere formation en novembre 2022 de DataScientist et vient de signer à nouveau pour un parcours MLOps tellement je me régale avec eux 🤩",Fred zanghi,www.datascientest.com
Formation DA de qualité,5,"Formation DA de qualité, orientée sur la pratique et le métier. L'équipe pédagogique est bienveillante et la plateforme d'apprentissage très pratique.J'ai vraiment apprécié faire cette formation chez datascientest !",Sébastien Triollet,www.datascientest.com
"Formation de ""Data Product Manager""",5,"Cette formation de ""Data Product Manager"" a été extrêmement enrichissante. Elle a su parfaitement équilibrer théorie et pratique. Les formateurs des masterclass ont su partager leurs connaissances avec passion et clarté. Le contenu des notebooks de travail, progressif et structuré, m'a permis d'acquérir une compréhension solide de la gestion de produits data, de la stratégie aux techniques d'analyse de données. De plus, le travail en équipe et l'étude de cas ont apporté une dimension pratique essentielle. Cette formation m'a offert des outils précieux et transférables, améliorant significativement mes compétences et ma confiance dans ce nouveau type de gestion. Je la recommande vivement à tous ceux qui souhaitent évoluer dans ce métier.",Roland,www.datascientest.com
