Titre,Note,Avis,Auteur,Entreprise
Complètement satisfait de la formation Data Scientest,5,"J'ai suivi la formation Data Scientist avec ce centre de formation. En distanciel, en parallèle de mon travail. Les outils mis à disposition permettent l'autonomie, tout en étant accompagné par les masterminds. Le contenu est clair, complet, les examens sont d'un niveau abordable si les cours sont travaillés.L'équipe encadrante est jeune, dynamique, sympathique et professionnelle.J'ai pu rapidement mettre en oeuvre mes apprentissages dans mon travail, tout au long de la formation. Et j'ai acquis un back ground data me permettant d'être à l'aise sur du pilotage de projets Data/IA, et pour suivre l'actualité technique et comprendre les nouvelles évolutions (LLMs: ChatGPT, BARD, Mistral, Llama, etc).",David P,www.datascientest.com
Formation PBI 3 jours,5,"Formation PBI 3 jours. Formateur très pédagogue, formation dense avec une bonne répartition théorique et pratique. Le support vidéo pour une reprise des informations transmises est un excellent plus aussi. Merci.",Jonathan Arens,www.datascientest.com
Bonne formation,5,Bonne formation ; peut être + de cas pratiques / d'exemples à étudier. Formation complète par le panel de ce qu'il y a à apprendre ; et dense dans la quantité de cours et d'heures qu'il faut pour assimiler le cursus (c'est positif).L'idéal est de se forcer à garder le rythme des cours et tenir le calendrier des exams pour arriver dans les temps et encore en forme à la fin.,Zignale Antoine AZ,www.datascientest.com
Bonne formation de Data Analyse,5,La formation de Data Analyst est très complète. Les contenus proposés sont bien structurés avec un fil rouge permettant à la fin d'effectuer une analyse de A à Z. Il y a de nombreux exemples pratiques. Faire cette formation en continu permet d'étudier tout en maintenant son activité professionnelle. Les équipes de support sont réactives et les formateurs sont compétents.,Julien Schnitzler,www.datascientest.com
Formation de qualité,5,"Formation de qualité, équipe pédagogique en or.Plateforme très agréable. Venant du BTP, le domaine du code était pour moi complètement nouveau. J'ai malgré tout finalement décidé de me lancer dans cette aventure (parcours Datascientist) et j'ai bien fait ! Si les premiers modules et les premières semaines sont, pour des novices, assez denses, nous sommes très bien accompagnés. Notre progression se fait donc doucement mais sûrement et on se prend très vite au jeu ! J'identifiais au fur et à mesure de ma formation de possibles use cases en lien avec mon entreprise ce qui rendait les cours encore plus motivants.Bref, n'hésitez pas : foncez !PS : un grand merci à Manon - notre cheffe de cohorte en or !",Marine,www.datascientest.com
Un nouvel avenir,5,"J'étais dans mon process de  reconversion pro , n'ayant pas de connaissance, ni d'expérience en data je doutais de ma réussite. Il nécessite une implication réelle de notre part. Grâce au module de formation, le forum et les Masterclass, on peux réussir.  Un très grande fierté pour moi de finir cette formation de haut niveau et réussir le projet ""fil rouge"".DataScientest m'a offert la possibilité de changer de vie et de me reconvertir  dans un métier d'avenir alors que je n'avais aucune notion data au commencement.J'ai hâte de pouvoir faire d'autre formations à l'avenir avec le centre.",Sonita Arjoon,www.datascientest.com
Formation DevOps,5,"Belle expérience des formateurs à l'écoute, les supports sont adaptés.A répondu à mes attentes",louis malta;,www.datascientest.com
Expérience quasiment parfaite,4,Grâce à Datascientest j’ai réussi à donner un nouvel élan à ma carrière. Le contenu des cours est très bon même si quelques coquilles sont présentes. Les ateliers autours de la formation sont très varié et tous très intéressants. Petit bémol concernant la suivi individuel des apprenant qui je pense n’est pas parfait POUR LE MOMENT mais je fais entièrement confiance a l’organisme pour palier à ces problèmes dans un future très proche.,Pierre SARZIER,www.datascientest.com
Je recommande toutes les formations,5,"Je recommande la formation datascientest. C’est une formation complète qui s’adapte à notre emploi du temps pro ou perso. J’ai beaucoup appris car elle m’a permis d’évoluer dans la société dans laquelle je travail et j’ai pu l’être en œuvre tout les acquis que j’ai pu apprendre. Si vous ne savez pas quoi faire et que vous voulez vite pour professionnaliser, allez chez datascientest.",MELISSA GARZINO,www.datascientest.com
Super formation que je recommande à toutes celles et ceux qui souhaitent bosser dans la Data & l'IA,5,"J'ai pu suivre le triptyque Data Scientist + MLOps + Data Product Manager et j'ai trouvé que ces 3 formations étaient très complémentaires.Issu du monde du développement j'étais plus attiré par les 2 premières formations, plus techniques, mais je dois reconnaître que la 3ème est nécessaire pour la culture et les aspects réglementaires (RGPD, Ethique, ...) en plus d'apporter une vision différente des 2 premières sur le métier.Je n'aurai pas pu mieux tomber pour cette reconversion, je suis très content d'avoir entamé ce parcours en 2021 avec DataScientest et validé un titre Bac + 5 dans l'IA à près de 50 ans.Je me sens reboosté comme jamais pour la suite de ma carrière.Merci aux équipes qui sont vraiment super !",Lionel B,www.datascientest.com
